ano	selic_acumulada_noano	meta_selic_pctaa	ipca_no_ano	decada
1996	12.099091075930545		9.56	1990
1997	25.463434536369324		5.22	1990
1998	30.041153610539983		1.65	1990
1999	26.552701773946396	20.276692227043004	8.94	1990
2000	17.947014144542848	17.965602998730933	5.97	2000
2001	17.9331337559794	17.9092042566648	7.67	2000
2002	19.611273347718704	19.713770532032182	12.53	2000
2003	23.870548787944323	24.055130601756435	9.3	2000
2004	16.735178989077014	16.873738427418527	7.6	2000
2005	19.549898483562032	19.55805513174247	5.69	2000
2006	15.575390279571778	15.625397132337682	3.14	2000
2007	12.271813127183218	12.342966493318407	4.46	2000
2008	12.732809286311886	12.82206350292132	5.9	2000
2009	10.265431519435776	10.362466823326933	4.31	2000
2010	10.06294641933938	10.159752887822716	5.91	2010
2011	11.916191457027004	12.005412674928229	6.5	2010
2012	8.71835565232535	8.827038082236527	5.84	2010
2013	8.392980561902764	8.498811098998749	5.91	2010
2014	11.131167561546217	11.233801735629022	6.41	2010
2015	13.718982587464978	13.821673950654212	10.67	2010
2016	14.436507614879757	14.539211306791122	6.29	2010
2017	10.241898236448744	10.344094360483158	2.95	2010
2018	6.64059856632826	6.743133983230454	3.75	2010
2019	6.076419870457017	6.1789444133869775	4.31	2010
2020	2.849970047101791	2.9528318487251903	4.52	2020
2021	4.559823867870372	4.662334724522554	10.06	2020
2022	12.718058722062974	12.820290138876555	5.79	2020
2023	13.475651328552196	13.577889063223548	4.62	2020
2024	11.157308727099991	11.260383090719262	4.83	2020
